6,7,Datetime,Favourite Count,Retweets,Source,Text,harsh tag,submitter_name
0.0,0.0,2020-06-16 22:45:24+00:00,0.0,0.0,SgtPang,#ArmyHiringDays #CallToServe #JoinUs #HiringNow #JobSearch #Vacancy ,,Eric Nzivo
0.0,0.0,2020-06-16 22:45:19+00:00,0.0,0.0,SgtPang,#ArmyHiringDays #CallToServe #JoinUs #HiringNow #JobSearch #Vacancy ,,Eric Nzivo
0.0,0.0,2020-06-16 22:45:11+00:00,0.0,0.0,SgtPang,#ArmyHiringDays #CallToServe #JoinUs #HiringNow #JobSearch #Vacancy ,,Eric Nzivo
0.0,0.0,2020-06-16 22:05:16+00:00,0.0,0.0,joblify_app,"Brewster Partners is #hiring a Finance Administrator in Harrogate, North Yorkshire #vacancy #jobs https://www.adzuna.co.uk/jobs/land/ad/1571434264?se=wkOEdR2w6hG9SdhcMs9Pzw&amp;utm_medium=api&amp;utm_source=933e8af0&amp;v=519DDB64DA1C3C7A6F8A506BC57D2C1E79B116A6",,Eric Nzivo
0.0,0.0,2020-06-16 21:45:17+00:00,0.0,0.0,NevadaHANDLV,"Our Boulder Pines family community has units available for rent! To learn more about this community and several others, visit http://nevadahand.org/explore-our-homes or call our Property Management team at (702) 433-4015. #MoreThanAHome #Vacancy #SouthernNevada #LasVegas #AffordableHousing",,Eric Nzivo
0.0,0.0,2020-06-16 21:45:03+00:00,2.0,0.0,WantRemoteJob,New #remote #job 2nd Shift Janitor at @stickermule https://wantremote.com/job/8608#1592343903 #remotework #vacancy #remotejob #hiring,,Eric Nzivo
0.0,0.0,2020-06-16 21:35:20+00:00,0.0,0.0,joblify_app,"See who is #hiring a Office Assistant in Waikato, North Island #vacancy #jobs https://www.adzuna.co.nz/land/ad/1568366661?se=DFgIRxmw6hGYGExPMs9Pzw&amp;utm_medium=api&amp;utm_source=933e8af0&amp;v=2D27DD22663C17FA8813B3BA0F4F92FB7BA62C7F",,Eric Nzivo
0.0,0.0,2020-06-16 20:53:11+00:00,2.0,0.0,CentralbankBS1,Career Opportunity: Sr. Facilities Assistant Visit our #career portal at: https://bit.ly/33Ke7Qz #maintenance #facilities #facilitiescareers #HVAC #electrical #plumbing #buildingequipment #careers #vacancy #job #opportunity #apply #careeropportunity #apply #applyonline,,Eric Nzivo
0.0,0.0,2020-06-16 20:40:08+00:00,1.0,2.0,internetztube,Are you a web developer and/or web designer? Awesome! We at @dynatrace are looking for you in Linz or Boston ! Interested? DMs are open! https://jobs.waltham.dynatrace.com/jobs/795015e7-c11a-4278-a848-bd3746b5d6fa #webdevelopment #vacancy,,Eric Nzivo
0.0,0.0,2020-06-16 20:34:16+00:00,0.0,0.0,tutor2uJobs,Part Time Teacher of Sociology and/or Psychology - Frensham Heights https://www.tutor2u.net/jobs/part-time-teacher-of-sociology-and-or-psychology-frensham-heights via @tutor2uSoc @FrenshamHeights #teaching #teacher #vacancy #sociology #psychology,,Eric Nzivo
0.0,0.0,2020-06-16 20:30:09+00:00,0.0,0.0,tutor2uJobs,Teacher of Business and Economics - Beauchamp College https://www.tutor2u.net/jobs/teacher-of-business-and-economics-beauchamp-college @tutor2uEcon #teaching #teacher #vacancy #business #economics,,Eric Nzivo
0.0,0.0,2020-06-16 20:30:00+00:00,0.0,0.0,NodhawkStaffing,We have Urgent vacancy in Business Analyst Profile. Who are interested send their updated resume- careers@nodhawkstaffing.com http://www.nodhawkstaffing.com @UndercoverRec @Hyperec_HRS #jobseekers #HIRINGNOW #USA #location #vacancy #applynow,,Eric Nzivo
0.0,0.0,2020-06-16 20:27:39+00:00,0.0,0.0,tutor2uJobs,"Teacher of Economics (Part-time, 0.3 FTE) - St Mary's Calne https://www.tutor2u.net/jobs/teacher-of-economics-part-time-0-3-fte-st-marys-calne via @tutor2u @tutor2uEcon @StMarysCalne #teaching #teacher #vacancy #economics",,Eric Nzivo
0.0,0.0,2020-06-16 20:25:43+00:00,0.0,0.0,joblify_app,"Wireless Etc. is #hiring a Sales Associate in Dartmouth, Halifax region #vacancy #jobs https://www.adzuna.ca/land/ad/1569394289?se=NrYvjQ-w6hGOioTIVp9PKA&amp;utm_medium=api&amp;utm_source=933e8af0&amp;v=D457C3DF5FBD61EA6B7AF4977715286C9A5338A4",,Eric Nzivo
0.0,0.0,2020-06-16 20:21:59+00:00,1.0,1.0,sanddollar_BS,Are you an Exuma resident? Join our team Visit the #career portal on the @CentralbankBS1 website https://lnkd.in/dqWtNF6 #projectmangementcareers #cbdc #digitalcurrency #bankingcareers #itcareers #careers #vacancy #job #opportunity #apply #careeropportunity #apply #applyonline,,Eric Nzivo
0.0,0.0,2020-06-16 20:19:13+00:00,2.0,0.0,CentralbankBS1,Career Opportunity: Project Development Officer - #ProjectSandDollar Visit https://bit.ly/33Ke7Qz to #apply #projectmangementcareers #projectmanagement #cbdc #digitalcurrency #projectsanddollar #bankingcareers #itcareers #careers #vacancy #job #applyonline,,Eric Nzivo
0.0,0.0,2020-06-16 20:00:50+00:00,0.0,0.0,1972dingle,#job #vacancy: Logistics SAP Implementation Support at @TTElectronics (#HartlepoolDurham) Apply now!,,Eric Nzivo
0.0,0.0,2020-06-16 20:00:18+00:00,0.0,1.0,GOARMYANCHORAGE,The Army is launching its first all-Army virtual hiring campaign June 30 – July 2. TEXT AMMZ to GoArmy (462-769) to get more information. @goarmyseattle @GoArmy @USArmy @usarec #ArmyHiringDays #JoinUs #CallToServe #HiringNow #jobsearch #vacancy ,,Eric Nzivo
0.0,0.0,2020-06-16 19:54:22+00:00,0.0,0.0,LPNrocks,Did you #FindMe? #RosebudMotel #SchittsCreek #Vacancy #BackInFifteenMinutes #Stevie #Bell #RoomKey #LPNrocks,,Eric Nzivo
0.0,0.0,2020-06-16 19:45:02+00:00,1.0,0.0,WantRemoteJob,New #remote #job Product UX Researcher &amp; Operations (EMEA) at @hotjar https://wantremote.com/job/8607#1592336702 #vacancy #hiring,,Eric Nzivo
0.0,0.0,2020-06-16 19:37:00+00:00,6.0,4.0,SANHA_Halaal,#SanhaNotice #Sanha #FreeState #Vredefort #Vacancy #VacancyNotice #VacancyAlert,,Eric Nzivo
0.0,0.0,2020-06-16 19:25:27+00:00,0.0,6.0,RevDanCrouch,spent some time today continuing to prepare the church here in #Highbridge to reopen for private prayer on Thursday. #Vacancy #Priest #COVID19,,Eric Nzivo
