6,7,Datetime,Favourite Count,Retweets,Source,Text,harsh tag,submitter_name
0.0,0.0,2020-07-14 16:41:26+00:00,120.0,112.0,johnnjenga,Job Vacancy Credit Analyst #IkoKaziKe ,,Eunice Mutahi
0.0,0.0,2020-07-14 16:38:48+00:00,76.0,49.0,johnnjenga,Job Vacancy Information Systems Security Officer #IkoKaziKe ,,Eunice Mutahi
0.0,0.0,2020-07-14 16:34:24+00:00,0.0,1.0,Aluso_Akelo,Use #IkoKaziKe for wider reach ,,Eunice Mutahi
0.0,0.0,2020-07-14 16:21:49+00:00,2.0,3.0,MMahila,SUN DRIED CLEAN OMENA 1 Gorogoro (2Kg Tin) @250 FRESH CLEAN DEEP FRIED OMENA 1 Gorogoro (2Kg Tin) @400 FRESH CLEAN FULU/WIU 1 Gorogoro (2Kg Tin) @450 For Orders Call/WhatsApp 0717510818 Good packaging Delivery services available #sharemyhustle #IkoKaziKE #Tujengane,,Eunice Mutahi
0.0,0.0,2020-07-14 16:17:34+00:00,0.0,0.0,Prolific_issa,#IkoKaziKe ,,Eunice Mutahi
0.0,0.0,2020-07-14 16:17:28+00:00,3.0,7.0,Matrixdevke,For website design and development call 0725795967 or email info@matrixdeveloperske.co.ke http://matrixdeveloperske.co.ke #Isabella #IkoKaziKe #COVIDisRealKe #CongratulationsRuto #KaziMtaani #PresidentUhuruKenyatta,,Eunice Mutahi
0.0,0.0,2020-07-14 16:08:26+00:00,0.0,0.0,OyierNemia,Get stylish and TRENDY Get BOOTS @1999 0720682111 Retirement Kenya Kangata EPRA Waiguru Kikuyu KPLC President uhuru Kenyatta Dp Ruto Raila #IkoKiatuKe #IkoKaziKE ,,Eunice Mutahi
0.0,0.0,2020-07-14 15:59:49+00:00,1121.0,1522.0,mgkwena,"Sheila, an advocate of Special Needs rights to education is selling these masks in support of hearing impaired persons (HI) being able to read lips for 150 bob a piece. Minimum order of 5 as it's for a worthy cause. You can reach her on 0732898869 #ikokaziKE #covidKE RT widely",,Eunice Mutahi
0.0,0.0,2020-07-14 15:54:01+00:00,0.0,0.0,__kimutai,""" Resume is the first contact between you and prospective employer and therefore, you should establish a pleasant first impression with well laid resume"" https://www.254news.co.ke/3-resume-mistakes-you-should-avoid-in-todays-competitive-labor-market/ via @254NewsKe #JobSeeker #JobSeekersSA #jobsinkenya #ikokazike",,Eunice Mutahi
0.0,0.0,2020-07-14 15:33:49+00:00,1.0,0.0,DataNomadKE,Senior Associate| @InstiglioInc |Nairobi #IkoKaziKe https://www.instiglio.org/wp-content/uploads/Senior-Associate_Project_Africa_Final-1.pdf,,Eunice Mutahi
0.0,0.0,2020-07-14 15:14:00+00:00,1.0,2.0,EmploiAfrica,"50+ Top companies in Kenya are hiring today; Equity Bank, Norwegian Refugee Council, Parliamentary Service Commission, Kenya Red Cross, Jeyfine Wines Company among others. Apply here: https://bit.ly/2xG92xe Visit https://bit.ly/3avu5Qm to grab more. #jobs #Ikokazike ",,Eunice Mutahi
0.0,0.0,2020-07-14 14:56:56+00:00,0.0,0.0,MerryTresha,support the grind #IkoKaziKe,,Eunice Mutahi
0.0,0.0,2020-07-14 14:52:00+00:00,12.0,4.0,T_Nungari,"Hey guys, my sibling has a Health Center in Mwiki, the directions are on the poster! Please RT and refer your family and friends if they live around that area #IkoKaziKe ",,Eunice Mutahi
0.0,0.0,2020-07-14 14:43:50+00:00,1.0,0.0,Shirohshi,#KOT #ikokazike #cereals #grains,,Eunice Mutahi
0.0,0.0,2020-07-14 14:42:44+00:00,0.0,0.0,Shirohshi,#KOT #grains #ikokazike #cereals,,Eunice Mutahi
0.0,0.0,2020-07-14 14:41:11+00:00,0.0,0.0,NgociHellen,#grains #KOT #cereals #ikokazike ,,Eunice Mutahi
0.0,0.0,2020-07-14 14:40:32+00:00,0.0,0.0,NgociHellen,#grains #cereals #ikokazike #KOT,,Eunice Mutahi
0.0,0.0,2020-07-14 14:39:48+00:00,0.0,0.0,NgociHellen,#KOT #cereals #ikokazike #grains,,Eunice Mutahi
0.0,0.0,2020-07-14 14:37:24+00:00,0.0,0.0,Shirohshi,#KOT #Cereals #IkokaziKe #grains,,Eunice Mutahi
0.0,0.0,2020-07-14 14:36:00+00:00,21.0,23.0,joe_clinch,Guys I am looking for a reliable and trustable website developer and brand consultant. Kindly share and retweet. #IkoKazike,,Eunice Mutahi
0.0,0.0,2020-07-14 14:06:08+00:00,0.0,1.0,waihigakmuturi,Very well put... #WaihigaKMuturi #WaihigaIsImpact #CreatorOfOpportunities #SerialSocialEntrepreneur #DigitalStoryteller #SocialConnector #ProfessionalMediator #LetsCreateAfrica #JobsInAfrica #TheFutureOfWork© #WorkInAfrica #IkoKaziKE #SOKO @letscreateafr…,,Eunice Mutahi
0.0,0.0,2020-07-14 13:42:15+00:00,0.0,6.0,53artz,We make your dreams come true Get your outfits customized by us! #ShareMyHustle #ikokazikenya #IkoKaziKe ,,Eunice Mutahi
0.0,0.0,2020-07-14 13:32:57+00:00,1.0,1.0,CampoeKE,Internship Opportunities at Nyeri County Government | 200 Vacancies | Stipend: 10k | DDL: 28th July 2020 Details >: https://bit.ly/32ghmQR #CampoeCareers #IkoKaziKE,,Eunice Mutahi
0.0,0.0,2020-07-14 13:30:01+00:00,1.0,0.0,Simon_Ingari,Waiter Vacancy At Verona Hotel - https://opportunitiesforyoungkenyans.co.ke/2020/07/14/waiter-vacancy-verona-hotel/ #IkoKaziKe #PataKaziKe #Gethired #JobSeekers #Jobs #In...,,Eunice Mutahi
0.0,0.0,2020-07-14 13:29:47+00:00,2.0,2.0,DebrahMetto,#IkoKaziKe I do voice overs beautifully. Reach out to me via debrah.mwavua@gmail.com for samples of my work. Thanks.,,Eunice Mutahi
0.0,0.0,2020-07-14 13:29:36+00:00,1.0,2.0,ombchae1,kindly retweet so that it May reach my clients. Get yourself pure honey from Northern Kenya. Get in touch through +254 717 576118 #IkoKaziKE #ShareMyHustle #KaziMtaani,,Eunice Mutahi
0.0,0.0,2020-07-14 13:26:40+00:00,1.0,0.0,ombchae1,kindly retweet so that it May reach my clients. My Hustle is selling high quality leaves from the foot of Mount Kenya Get in touch through +254 717 576118 #IkoKaziKE #ShareMyHustle #KaziMtaani,,Eunice Mutahi
0.0,0.0,2020-07-14 13:20:17+00:00,1.0,0.0,Simon_Ingari,Shortlisted Candidates – ODPP - https://opportunitiesforyoungkenyans.co.ke/2020/07/14/shortlisted-candidates-odpp/ #IkoKaziKe #PataKaziKe #Gethired #JobSeekers #Jobs #Int...,,Eunice Mutahi
0.0,0.0,2020-07-14 13:17:16+00:00,0.0,0.0,Simon_Ingari,Sales Vacancy - https://opportunitiesforyoungkenyans.co.ke/2020/07/14/sales-vacancy-7/ #IkoKaziKe #PataKaziKe #Gethired #JobSeekers #Jobs #Internships #schola...,,Eunice Mutahi
0.0,0.0,2020-07-14 13:15:43+00:00,1.0,0.0,Simon_Ingari,Medical Vacancies At Franciscan Sisters - https://opportunitiesforyoungkenyans.co.ke/2020/07/14/medical-vacancies-franciscan-sisters/ #IkoKaziKe #PataKaziKe #Gethired #JobSeekers ...,,Eunice Mutahi
0.0,0.0,2020-07-14 13:13:52+00:00,1.0,0.0,Simon_Ingari,Penda Health Hiring - https://opportunitiesforyoungkenyans.co.ke/2020/07/14/penda-health-hiring-2/ #IkoKaziKe #PataKaziKe #Gethired #JobSeekers #Jobs #Internships #...,,Eunice Mutahi
0.0,0.0,2020-07-14 13:13:02+00:00,3.0,1.0,CampoeKE,Entry-Level Jobs at The Nairobi Hospital | DDL: 24th July 2020 - Nurses - Patient Attendants - Biomedical Technologists - Network Admin - Security Controller Details >> https://bit.ly/38WrAHA #CampoeCareers #IkoKaziKE,,Eunice Mutahi
0.0,0.0,2020-07-14 13:12:51+00:00,1.0,1.0,Simon_Ingari,Customer Support Intern - https://opportunitiesforyoungkenyans.co.ke/2020/07/14/customer-support-intern/ #IkoKaziKe #PataKaziKe #Gethired #JobSeekers #Jobs #Internshi...,,Eunice Mutahi
0.0,0.0,2020-07-14 13:10:59+00:00,1.0,1.0,Simon_Ingari,Program Officer Job - https://opportunitiesforyoungkenyans.co.ke/2020/07/14/program-officer-job-2/ #IkoKaziKe #PataKaziKe #Gethired #JobSeekers #Jobs #Internships #...,,Eunice Mutahi
0.0,0.0,2020-07-14 13:09:23+00:00,1.0,0.0,Simon_Ingari,Transmara Sugar Hiring - https://opportunitiesforyoungkenyans.co.ke/2020/07/14/transmara-sugar-hiring/ #IkoKaziKe #PataKaziKe #Gethired #JobSeekers #Jobs #Internship...,,Eunice Mutahi
0.0,0.0,2020-07-14 13:04:55+00:00,1.0,4.0,Gotech_constrKe,"Colored paving blocks 60mm available at 1,500/= per square metre buying price including delivery and installation/fixing them within #nairobi. 1,700/= per square metre buying price including delivery and fixing outside Nairobi #KaziMtaani #pavingblockskenya #kenya #IkoKaziKe ",,Eunice Mutahi
0.0,0.0,2020-07-14 12:52:57+00:00,0.0,1.0,Simon_Ingari,Front Office Assistant Job - https://opportunitiesforyoungkenyans.co.ke/2020/07/14/front-office-assistant-job/ #IkoKaziKe #PataKaziKe #Gethired #JobSeekers #Jobs #Intern...,,Eunice Mutahi
